,ema_fast,ema_slow,rsi_long,rsi_short,total_return,cagr,sharpe,sortino,max_dd,profit_factor,trades
820,15,50,65,30,46.31,6.55,0.4016,0.5031,-89.27,1.0139,280
821,10,200,55,40,51.61,7.18,0.4006,0.4819,-79.84,1.0146,41
822,10,20,55,45,45.67,6.47,0.4002,0.5008,-91.16,1.0138,190
823,5,200,50,40,45.79,6.49,0.3991,0.4991,-79.09,1.0139,41
824,5,200,50,35,37.92,5.51,0.3832,0.4794,-79.15,1.0134,43
825,10,100,50,35,37.33,5.43,0.382,0.479,-77.94,1.0133,15
826,20,200,55,30,36.36,5.31,0.3802,0.4759,-83.11,1.0132,20
827,12,30,55,30,34.28,5.04,0.3771,0.4727,-75.05,1.0131,164
828,5,30,70,40,34.02,5.0,0.3771,0.4789,-84.61,1.013,745
829,5,200,50,50,34.92,5.12,0.3768,0.4708,-86.81,1.0132,17
830,10,75,65,30,33.76,4.97,0.3761,0.4719,-89.82,1.013,292
831,15,150,60,30,34.4,5.05,0.3759,0.4667,-84.96,1.0131,65
832,25,50,55,40,34.25,5.03,0.3756,0.4654,-87.43,1.0131,53
833,10,30,70,30,31.88,4.72,0.3725,0.4724,-79.86,1.0129,641
834,15,30,60,30,31.93,4.73,0.3723,0.4662,-86.01,1.0129,308
835,5,30,70,45,31.83,4.71,0.372,0.4688,-93.68,1.0129,399
836,8,20,60,40,30.69,4.56,0.3697,0.4678,-85.56,1.0128,619
837,12,30,70,30,30.19,4.5,0.3687,0.4667,-79.81,1.0128,577
838,10,50,65,30,29.56,4.41,0.3673,0.4599,-93.72,1.0127,424
839,12,200,60,30,30.17,4.49,0.367,0.4578,-89.99,1.0128,72
840,8,30,60,35,29.2,4.36,0.3665,0.4632,-87.42,1.0127,556
841,10,100,50,30,29.86,4.45,0.366,0.4589,-77.94,1.0128,15
842,8,50,60,30,29.04,4.34,0.366,0.4593,-86.33,1.0127,350
843,5,30,55,40,28.91,4.32,0.3657,0.4577,-82.73,1.0126,398
844,15,30,65,30,28.38,4.25,0.3646,0.4585,-88.33,1.0126,429
845,15,200,55,50,37.35,5.43,0.3621,0.4233,-77.2,1.0134,1
846,5,50,70,35,27.03,4.07,0.3618,0.4585,-88.16,1.0125,611
847,8,100,55,45,27.65,4.15,0.3618,0.4502,-92.39,1.0126,64
848,5,200,50,30,27.29,4.11,0.3602,0.4507,-80.36,1.0126,45
849,8,30,70,30,25.85,3.91,0.3594,0.4562,-85.33,1.0124,747
850,5,100,70,45,26.4,3.98,0.3592,0.4477,-94.23,1.0125,154
851,20,30,55,40,25.39,3.84,0.3576,0.4462,-80.06,1.0124,82
852,10,50,55,35,24.76,3.76,0.3556,0.4476,-87.96,1.0123,100
853,10,200,50,50,30.17,4.49,0.3542,0.424,-87.95,1.0129,5
854,20,200,55,40,24.4,3.71,0.3539,0.4416,-82.79,1.0123,18
855,10,20,55,40,23.65,3.6,0.3537,0.4441,-86.09,1.0122,300
856,12,150,60,35,23.9,3.64,0.3534,0.4398,-87.52,1.0123,79
857,8,30,70,35,22.53,3.44,0.3516,0.4456,-85.97,1.0122,689
858,8,50,55,30,22.53,3.45,0.3511,0.4388,-77.98,1.0121,142
