Date,Content,Video title,Video publish time,Duration,Average view duration
2021-04-22,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-04-23,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-04-24,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-04-25,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-04-26,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-04-27,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-04-28,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-04-29,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-04-30,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-01,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-02,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-03,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-04,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-05,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-06,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-07,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-08,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-09,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-10,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-11,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-12,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-13,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-14,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-15,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-16,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
